party,chunk
SP,"Zur Erreichung dieser Ziele sind folgende Richtlinien massgebend:
1. Die erforderlichen Mittel des öffentlichen Haushalts sind erster Linie durch
progressive Einkommens-, Vermögens- und Erbschaftssteuern aufzubringen, da
diese die Steuerpflichtigen nach ihrer wirtschaftlichen Leistungsfähigkeit
erfassen. Einkommen, die nur zur Beschaffung des notwendigen
Lebensbedarfes dienen, bleiben steuerfrei. Konsumsteuern sind auf eine
Belastung des nicht notwendigen Verbrauchs zu beschränken. Einheitliche
Veranlagung sowie Vorkehren gegen Steuerflucht und Steuerhinterziehung
sorgen für gerechte Belastung aller Steuerpflichtigen.
2. Durch Sozialabzüge und geeignete Progression werden kleine Einkommen und
Vermögen wesentlich entlastet, grosse entsprechend stärker belastet.
3. Um eine gleichmässigere Verteilung der Vermögen zu erzielen, sind die grossen
Hinterlassenschaften unter Berücksichtigung des Verwandtschaftsgrades und
der sozialen Lage der Erben zu besteuern."
SP,"der sozialen Lage der Erben zu besteuern.
4. Die Finanz- und Steuerpolitik ist konjunkturgerecht auf die Wirtschaftslage
auszurichten. Der Staatshaushalt soll den Konjunkturperioden entsprechend
ausgeglichen sein.
5. Die Kapitalbildung durch die öffentliche Hand, insbesondere die Anlage von
Reserven für Arbeitsbeschaffung in Zeiten wirtschaftlicher Depression, wird
gefördert.
6. Zwischen finanziell schwachen und starken Gemeinwesen wird ein
angemessener Finanzausgleich hergestellt.
7. Die verschiedenen Mittel und Massnahmen der Finanz und Wirtschaftspolitik
werden koordiniert und den allgemeinen Zielen untergeordnet.
IV. Einzelfragen der Wirtschafts- und Finanzpolitik
1. Geld-, Kredit- und Währungspolitik
Geld und Kredit sind den allgemeinen wirtschaftlichen Zielen unterzuordnen Der
Geldumlauf ist durch die Nationalbank nach dem Bedarf der Volkswirtschaft zu
regulieren. Inflation sowie Deflation sind zu verhüten."
SP,"regulieren. Inflation sowie Deflation sind zu verhüten.
Die Kreditpolitik ist so zu gestalten, dass die Wirtschaft mit dem für ihre Entwicklung
nötigen Kapital versorgt wird.
Die Zinsbelastung der Wirtschaft soll möglichst gering sein. In Zeiten von
Beschäftigungsmangel sind Krediterleichterungen zu gewähren. Sofern
Einschränkungen des Kredits notwendig werden, müssen gezielte Massnahmen
getroffen werden, um die im Interesse der Versorgung und eines gesunden
Wachstums der Wirtschaft erforderlichen Investitionen zu ermöglichen und
Preissteigerungen zu verhindern.
5
Im Interesse stabiler Wirtschaftsbeziehungen mit dem Ausland sind feste
Wechselkurse erwünscht; doch darf das starre Festhalten am Goldkurs des
Frankens nicht zu einer Deflationspolitik führen.
2. Produktionspolitik
Die Produktion von Gütern und die Dienstleistungen sind auf allen Gebieten
möglichst rationell zu gestalten. Rationalisierungsbestrebungen sind zu unterstützen,"
SP,"möglichst rationell zu gestalten. Rationalisierungsbestrebungen sind zu unterstützen,
soweit es sich um echte Rationalisierung handelt, das heisst um Verbesserungen
der Produktivität ohne Mehrbeanspruchung des arbeitenden Menschen. Die
steigende Produktivität der Wirtschaft durch Rationalisierung, Automation usw. soll
den Arbeitnehmern in der Form von Lohnerhöhungen, grösserer Freizeit sowie
Preissenkungen zugute kommen. Die Investitionstätigkeit sollte möglichst stetig
verlaufen, da Schwankungen auf diesem Gebiet eine der wesentlichen
Krisenursachen bilden.
Die Nutzung und der Ausbau von Wasserkraft, von Erdöl und Erdgasquellen sowie
die Erzeugung von Atomenergie sind zu koordinieren. Die Energiewirtschaft ist als
allgemeiner öffentlicher Dienst zu gestalten.
Im Interesse einer stetigen Entwicklung der Wirtschaft ist ein umfassender Ausbau
der Wirtschaftsstatistik und die Aufstellung eines volkswirtschaftlichen Budgets
erforderlich.
3. Konjunkturpolitik"
SP,"erforderlich.
3. Konjunkturpolitik
Durch Ausnutzung aller Möglichkeiten der Wirtschafts- und Finanzpolitik ist
bestehenden oder drohenden Gleichgewichtsstörungen der Gesamtwirtschaft oder
einzelner Teile derselben entgegenzuwirken. Insbesondere sind die nötigen
Reserven und Projekte für die Arbeitsbeschaffung vorsorglich bereitzustellen.
Die Arbeiten und Aufträge der öffentlichen Hand sind nach konjunkturpolitischen
Erfordernissen vorzunehmen. In Zeiten der Vollbeschäftigung sind nicht dringliche
Arbeiten zu verschieben, während in Zeiten von Arbeitslosigkeit die öffentlichen
Aufträge nach Möglichkeit den Ausfall der Nachfrage der Privatwirtschaft ersetzen
sollen.
Da angesichts der engen Verflechtung der Schweiz mit der Weltwirtschaft
Kriseneinbrüche durch konjunkturpolitische Massnahmen nicht unbedingt verhindert
werden können, sind alle geeigneten Massnahmen zu treffen, um den
Arbeitnehmern ihren angestammten Arbeitsplatz zu erhalten oder ihnen in"
SP,"Arbeitnehmern ihren angestammten Arbeitsplatz zu erhalten oder ihnen in
Berücksichtigung ihrer beruflichen, körperlichen und familiären Möglichkeiten eine
zumutbare neue Beschäftigung zu bieten.
4. Preispolitik
Die Preispolitik muss auf die Erhaltung eines stabilen Preisniveaus ausgerichtet sein.
Der Verteilungsapparat ist möglichst rationell zu gestalten. Wo die Konkurrenz nicht
spielt, ist eine Preisüberwachung erforderlich; übersetzte Preise sind durch
Preiskontrolle und Preisvorschriften zu verhindern. Wo Mangel an wichtigen Gütern
herrscht, sind besondere Massnahmen zu treffen, um das Angebot zu vermehren.
5. Aussenhandelspolitik
Die Aussenhandelspolitik hat der Versorgung der Konsumenten wie der produktiven
Wirtschaft zu dienen. Die Zölle sind niedrig zu halten, Rohstoffe und Lebensmittel
6
freizulassen. Schutzmassnahmen sind nur gerechtfertigt, um Wirtschaftszweige zu
erhalten, die als lebenswichtig betrachtet werden, und nur unter der Voraussetzung,"
SP,"erhalten, die als lebenswichtig betrachtet werden, und nur unter der Voraussetzung,
dass trotz des Schutzes nach höchster Produktivität getrachtet wird. Der Schutz der
Landwirtschaft ist so zu regeln, dass die zur Ergänzung der Inlandproduktion
notwendige Einfuhr nicht verteuert wird. Finanzzölle sind zu beschränken auf Güter,
die dem Luxuskonsum dienen.
6. Agrarpolitik
Die Partei der Schweiz setzt sich ein für die Erhaltung eines
gesunden, selbständigen Bauernstandes auf eigenem Boden. Sie ist bereit, im
Rahmen der Absatzmöglichkeiten und der notwendigen Rücksichtnahme auf die
Konsumenten, einer Sicherung der Preise für landwirtschaftliche Erzeugnisse
zuzustimmen, die den Bauern einen angemessenen Arbeitsverdienst gewährt.
Voraussetzung eines solchen Preisschutzes muss jedoch sein: eine ernsthafte
Bekämpfung der Spekulation mit landwirtschaftlichem Boden und seiner
Überzahlung, ferner eine durch fortschrittliche Betriebsberatung unterstützte,"
SP,"Überzahlung, ferner eine durch fortschrittliche Betriebsberatung unterstützte,
rationelle Arbeitsweise der Bauernbetriebe. Eine solche ist nur möglich wenn der
übermässigen Zerstückelung des Bodens und der Aufteilung in zu kleine
Betriebseinheiten durch rationelle Güterzusammenlegung wirksam begegnet wird.
Die Verbesserung der Produktivität ist mit allen Mitteln zu fördern.
Wo wirtschaftliche Hilfe zur Überwindung der Existenzschwierigkeiten der Klein- und
Bergbauern nicht ausreicht sind sozialpolitische Massnahmen notwendig. Die
Entwicklung wirtschaftlich stark benachteiligter Gegenden ist soweit möglich durch
Ansiedlung von Industrie und Gewerbe zu fördern.
7. Bodenpolitik
Die rationelle Verwendung des Bodens macht eine Orts-, Regional- und
Landesplanung notwendig. Diese Planung bedingt gesetzliche Einschränkungen des
Eigentumsrechtes Da der Boden unvermehrbar ist, hat der Landeigentümer,
namentlich in günstigen Lagen, eine privilegierte, oft monopolähnliche Stellung, die"
SP,"namentlich in günstigen Lagen, eine privilegierte, oft monopolähnliche Stellung, die
ihm eine unverdiente Rente gewährt. Der ständigen Preissteigerung des Bodens, die
durch Spekulation noch verschärft wird, ist durch geeignete Massnahmen
entgegenzutreten. Vor allem müssen Staat und Gemeinden durch vorsorglichen
Kauf von Land für Siedlungszwecke der Verteuerung des Baulandes und damit auch
der Wohnungsmieten entgegenwirken. Öffentlicher Boden soll grundsätzlich nicht
wieder an Private verkauft werden, doch ist durch Einräumung des Baurechtes
Privaten das Bauen auf öffentlichem Boden zu ermöglichen. Der Wertzuwachs des
Bodens sowie die Gewinne aus dem Grundstückhandel sind scharf zu besteuern.
8. Verkehrspolitik
Ein zweckmässig ausgebautes Verkehrsnetz hat der raschen, sicheren und
möglichst billigen Beförderung von Personen und Gütern zu dienen. Der
Arbeitnehmer soll den Arbeitsort unter geringstem Zeitaufwand erreichen können."
SP,"Arbeitnehmer soll den Arbeitsort unter geringstem Zeitaufwand erreichen können.
Die öffentlichen Verkehrsmittel sollen in Allgemeinbesitz überführt werden.
Die Verkehrspolitik hat dazu beizutragen, die Produktivität zu steigern und den
allgemeinen Wohlstand zu mehren, vor allem durch:
– wirtschaftliche Koordination der Verkehrsträger;
– soziale Tarifpolitik;
7
– erhöhte Verkehrssicherheit;
– Angleichung der Konkurrenzbedingungen durch gerechte Kostenbelastung der
verschiedenen Verkehrsmittel und Angleichung der Arbeitsbedingungen;
– Bekämpfung des Lärms und anderer gesundheitlicher Schädigungen.
– Fremdenverkehr und Sozialtourismus sind zu fördern.
9. Genossenschaftswesen
Die Genossenschaft ist die älteste Form der Wirtschaftsdemokratie. Sie ermöglicht,
namentlich den wenig bemittelten Volkskreisen, Konsumenten, Arbeitern,
Angestellten, Bauern, Gewerbetreibenden, sich die organisatorischen und
technischen Vorteile der modernen Wirtschaftsführung in gemeinsamen"
SP,"technischen Vorteile der modernen Wirtschaftsführung in gemeinsamen
Unternehmungen nutzbar zu machen. Die Personie unterstützt daher die
Anwendung echter genossenschaftlicher Grundsätze in allen Wirtschaftsgebieten.
10. Internationale wirtschaftliche Zusammenarbeit
Die Bestrebungen zur europäischen und internationalen wirtschaftlichen
Zusammenarbeit sollen unterstützt werden. Die Partei der
Schweiz tritt deshalb für eine aktive Mitarbeit in den zu diesem Zwecke geschaffenen
Organisationen ein.
V. Sozialpolitik
Die Sozialpolitik soll Schutz vor Armut, Bedrängnis und wirtschaftlicher Unsicherheit
gewähren. Sie hat dabei die Persönlichkeit und Würde des Menschen zu achten und
ihm behilflich zu sein, sein Leben sinnvoll zu gestalten.
Soziales Handeln soll nicht nur vom Staat ausgehen; notwendig ist auch die
Mitarbeit von Einzelnen und von Organisationen der gegenseitigen Hilfe.
Die unmittelbaren sozialpolitischen Ziele der Partei der
Schweiz sind:"
SP,"Die unmittelbaren sozialpolitischen Ziele der Partei der
Schweiz sind:
– Sicherung der Würde des Menschen in der Wirtschaft;
– Sicherung der Familie;
– Schutz des arbeitenden Menschen durch Ausbau des Arbeitsrechts;
– Wirtschaftliche und soziale Sicherung der Erwerbsunfähigen;
– Errichtung eines umfassenden Gesundheitsdienstes.
Zur Erreichung dieser Ziele sind folgende Richtlinien massgebend:
1. Die Erweiterung des Mitsprache- und Mitbestimmungsrechtes der Arbeitnehmer
soll eine Neuorientierung des Verhältnisses zwischen Arbeitnehmern und
Arbeitgebern im Sinne der Gleichberechtigung herbeiführen. Es sind gleiche
Entwicklungs- und Aufstiegschancen für alle anzustreben.
2. Das Recht der Gewerkschaften, unabhängig vom Staat den Zusammenschluss
der Arbeitnehmer zu organisieren und für bessere Arbeitsbedingungen zu
kämpfen, ist zu gewährleisten, ebenso die uneingeschränkte Koalitionsfreiheit
dem Unternehmer gegenüber. Die Festsetzung der Löhne ist grundsätzlich der"
SP,"dem Unternehmer gegenüber. Die Festsetzung der Löhne ist grundsätzlich der
freien Vereinbarung zwischen Gewerkschaften und Arbeitgebern vorbehalten.
8
3. 4. 5. 6. 7. Wo dies in einzelnen Wirtschaftszweigen nicht möglich ist, sind Mindestlöhne
gesetzlich vorzuschreiben.
Für gleichwertige Leistungen von Männern und Frauen sind gleiche Löhne zu
bezahlen. Die Arbeiten, die üblicherweise von Frauen verrichtet werden, sind
nach denselben Massstäben zu bewerten wie Männerarbeit.
Das Arbeitsrecht wird einheitlich ausgebaut, vor allem in Hinsicht auf die
Achtung der Persönlichkeit, die Verkürzung der Arbeitszeit, die Gewährleistung
bezahlter Ferien, die Sicherung des Arbeitsplatzes, im besonderen gegen
ungerechtfertigte Kündigung, und den Schutz von Leben und Gesundheit, unter
besonderer Rücksichtnahme auf Frauen und Jugendliche. Die berufliche
Ausbildung ist nachdrücklich zu fördern. Verheirateten Frauen ist das freie
Entscheidungsrecht zur Ausübung einer eigenen Erwerbsarbeit zu gewähren."
SP,"Entscheidungsrecht zur Ausübung einer eigenen Erwerbsarbeit zu gewähren.
Jedem, der nicht für seinen Lebensunterhalt aufkommen kann, soll eine
menschenwürdige Existenz gesichert werden. Diesem Zwecke dient der Ausbau
und die Ergänzung der Sozialversicherung, nämlich:
Alters- und Hinterlassenenversicherung;
Krankenversicherung;
Unfallversicherung mit Einschluss der Berufskrankheiten;
Mutterschaftsversicherung;
Invalidenversicherung, einschliesslich Umschulung und Wiedereingliederung ins
Erwerbsleben;
Arbeitslosenversicherung;
Ausgleichskassen für Kinderzulagen;
Militärversicherung und Erwerbsersatzordnung.
Eine Koordination der einzelnen Versicherungszweige wird die rationelle
Gestaltung der Leistungen ermöglichen. Wo soziale Schäden nicht anders
behoben werden können, setzt die Fürsorge ein. Sie soll die Selbständigkeit des
Hilfsbedürftigen so weit wie möglich wiederherstellen.
Ein auf den neuesten medizinischen Erkenntnissen beruhender, der"
SP,"Ein auf den neuesten medizinischen Erkenntnissen beruhender, der
Vorbeugung und Heilung gewidmeter Gesundheitsdienst soll allen Menschen
ohne Rücksicht auf ihre finanziellen Mittel zur Verfügung stehen. Besondere
Hilfe ist geschädigten und schwererziehbaren Kindern zu leisten.
Die Selbsthilfewerke werden nach Möglichkeit zur Mitarbeit an der staatlichen
Sozialpolitik herangezogen.
Bei der Organisation der Sozialwerke soll die Selbstverwaltung in der Weise
ausgebaut werden, dass der Einfluss des Einzelnen auf die sozialpolitische
Tätigkeit und damit auch sein Verantwortungsbewusstsein sich erhöht. Durch
geeignete Massnahmen soll verhütet werden, dass soziale Leistungen zu einer
Einschränkung der Eigenpersönlichkeit des Empfängers führen.
Zu den wichtigsten sozialpolitischen Aufgaben gehört die Förderung des
Wohnungsbaus, insbesondere der genossenschaftlichen und kommunalen
Bautätigkeit, mit dem Ziel, gesunde Wohnungen zu mässigen Mietzinsen in"
SP,"Bautätigkeit, mit dem Ziel, gesunde Wohnungen zu mässigen Mietzinsen in
genügender Zahl zu beschaffen; dabei sind die Bedürfnisse kinderreicher
Familien zu berücksichtigen.
Die nationale und regionale Planung soll den Menschen dienen: Grünflächen
und Spielplätze sollen jedem Sonne und Raum sichern; medizinische Dienste
sind in der Nähe der Wohnzentren zu errichten, der Verkehr ist von den
Wohnstätten fernzuhalten.
9
8. Die Sozialpolitik ist mit der Wirtschafts- und Finanzpolitik zu koordinieren. Auf
internationalem Gebiet sind gleichgerichtete sozialpolitische Bestrebungen zu
fördern.
VI. Recht und Staat
Für die Leute ist der Staat nicht Selbstzweck, sondern eine Einrichtung,
die im Zusammenleben der Menschen Ordnung, Gerechtigkeit und Wohlfahrt sichert.
Der Staat ist um der Menschen willen da und nicht die Menschen um des Staates
willen.
Die wirtschaftliche und soziale Befreiung der Menschen setzt die persönliche und"
SP,"willen.
Die wirtschaftliche und soziale Befreiung der Menschen setzt die persönliche und
politische Freiheit jedes Einzelnen voraus. Diese Freiheit kommt in der Schweiz am
unmittelbarsten in den Gemeinden und in den Kantonen zur Geltung. Eine
demokratische, föderalistische Staatsordnung ist deshalb in unserem Lande die
Grundlage für den Aufbau einer sozialistischen Gesellschaft.
Das Recht des Volkes auf Mitwirkung an der staatlichen Willensbildung ist zu
erweitern, so durch die Einführung der Gesetzesinitiative auch im Bund.
Unsere Demokratie ist aber unvollkommen ohne die rechtliche Gleichstellung der
Geschlechter. Die politischen Rechte dürfen den Frauen nicht länger vorenthalten
werden. Auch in den übrigen Lebensbereichen bleibt ein grundsätzlich gleiches
Recht von Mann und Frau noch zu schaffen. Das Wirken der Ehefrau und Mutter ist
ebenso hoch zu werten wie die Berufsarbeit des Mannes.
Über die Errungenschaften der persönlichen und der politischen Freiheit hinaus"
SP,"Über die Errungenschaften der persönlichen und der politischen Freiheit hinaus
fordert die Partei der Schweiz den Ausbau unseres Staates zu
einer wirtschaftlichen und sozialen Demokratie. Dabei sind insbesondere folgende
Richtlinien massgebend:
1. Soweit es für die Erreichung wirtschaftlich und sozial gerechter Verhältnisse
notwendig ist, soll der Staat nicht an die Schranken der Handels- und
Gewerbefreiheit gebunden sein. Diese Beschränkung der Freiheit Einzelner
bringt vermehrte Freiheit für alle.
2. Bei der Übernahme neuer Aufgaben durch den Staat ist zu prüfen, ob sie
besser durch die Gemeinden, die Kantone oder den Bund bewältigt werden
können. Dabei sind nach Möglichkeit private Organisationen zur Mitwirkung
heranzuziehen.
3. 4. 5. 6. Das Privateigentum an Grund und Boden ist soweit einzuschränken, dass eine
neue Bodenpolitik verwirklicht und die Orts-, Regional- und Landesplanung
wirksam gestaltet werden kann.
Der Grundsatz, dass jedem Jugendlichen ermöglicht wird, sich seinen"
SP,"wirksam gestaltet werden kann.
Der Grundsatz, dass jedem Jugendlichen ermöglicht wird, sich seinen
Fähigkeiten entsprechend auszubilden, ist verfassungsrechtlich zu verankern.
Auch für die Massnahmen des Staates auf dem Gebiete der Wirtschafts- und
der Sozialpolitik gelten die Grundsätze des Rechtsstaates. Verfassungswidrige
Einschränkungen der persönlichen Rechte dürfen auch auf dem Wege der
Gesetzgebung nicht vorgenommen werden.
Der Schutz des Einzelnen vor willkürlichen Eingriffen der öffentlichen Hand wird
um so wichtiger, je mehr der Ausbau unseres Staates zur wirtschaftlichen und
sozialen Demokratie bestimmte Einschränkungen der privaten Handlungsfreiheit
notwendig macht. Dieser Schutz ist nur dann gewährleistet, wenn der Bürger
10
7. seine Interessen gegenüber der Verwaltung wirksam vertreten und an einen von
der Verwaltung unabhängigen Richter gelangen kann.
In diesem Sinne ist in Bund und Kantonen die Verwaltungsrechtspflege
auszubauen."
